Name,Address,Scale,Units
Control command source,208,1,
Motor features,127,1,
odometer low,1690,100,
motor rpm,263,1,RPM
battery voltage,265,32,V
motor current,262,32,A
phase A current,282,32,A
phase B current,283,32,A
phase C current,284,32,A
Ia_rms,433,32,A
Ic_rms,434,32,A
motor temperature,261,1,C
controller temperature,259,1,C
DSP temperature,281,1,C
warnings,277,1,
warnings2,359,1,
faults,258,1,
faults2,299,1,
Remote maximum motoring current,491,40.96,%
Remote maximum braking current,492,40.96,%
Remote torque command,494,40.96,%
Remote Speed Command in RPM,1677,1,PRM
Remote state command,493,1,
Speed regulator mode,11,1,
